number,language,strongs_def,derivation,translit,lemma,kjv_def,xlit,pron
G4270,G," to write previously; figuratively, to announce, prescribe",from G4253 (πρό) and G1125 (γράφω);,prográphō,προγράφω,"before ordain, evidently set forth, write (afore, aforetime)",,
G3712,G," a stretch of the arms, i.e. a fathom",from G3713 (ὀρέγομαι);,orguiá,ὀργυιά,fathom,,
G968,G," a step, i.e. foot-breath; by implication, a rostrum, i.e. a tribunal",from the base of G939 (βάσις);,bēma,βῆμα,"judgment-seat, set (foot) on, throne",,
G3546,G," what is reckoned as of value (after the Latin numisma), i.e. current coin",from G3543 (νομίζω);,nómisma,νόμισμα,money,,
G4237,G," a garden plot, i.e. (by implication, of regular beds) a row (repeated in plural by Hebraism, to indicate an arrangement)","perhaps from (a leek, and so an onion-patch);",prasiá,πρασιά,in ranks,,
G2583,G," a rule (""canon""), i.e. (figuratively) a standard (of faith and practice); by implication, a boundary, i.e. (figuratively) a sphere (of activity)","from (a straight reed, i.e. rod);",kanṓn,κανών,"line, rule",,
G1588,G," select; by implication, favorite",from G1586 (ἐκλέγομαι);,eklektós,ἐκλεκτός,"chosen, elect",,
G5134,G," akin to the base of G2352 (θραύω), G5147 (τρίβος), G5149 (τρίζω), etc.); a wound",from the base of (to wound;,traûma,τραῦμα,wound,,
G1179,G," the ten-city region; the Decapolis, a district in Syria",from G1176 (δέκα) and G4172 (πόλις);,Dekápolis,Δεκάπολις,Decapolis,,
G453,G," unintelligent; by implication, sensual",from G1 (Α) (as a negative particle) and a derivative of G3539 (νοιέω);,anóētos,ἀνόητος,"fool(-ish), unwise",,
G2949,G, a billow (as bursting or toppling),"from (to swell (with young), i.e. bend, curve);",kŷma,κῦμα,wave,,
G3782,G," indebtedness, i.e. (concretely) a sum owed; figuratively, obligation, i.e. (conjugal) duty",from G3784 (ὀφείλω);,opheilḗ,ὀφειλή,"debt, due",,
G4131,G," a smiter, i.e. pugnacious (quarrelsome)",from G4141 (πλήσσω);,plḗktēs,πλήκτης,striker,,
G527,G, soft,of uncertain derivation;,apalós,ἀπαλός,tender,,
G3094,G," a female Magdalene, i.e. inhabitant of Magdala",feminine of a derivative of G3093 (Μαγδαλά);,Magdalēnḗ,Μαγδαληνή,Magdalene,,
G4831,G," a co-imitator, i.e. fellow votary",from a presumed compound of G4862 (σύν) and G3401 (μιμέομαι);,symmimētḗs,συμμιμητής,follower together,,
G5385,G," ""philosophy"", i.e. (specially), Jewish sophistry",from G5386 (φιλόσοφος);,philosophía,φιλοσοφία,philosophy,,
G3779,G, in this way (referring to what precedes or follows),adverb from G3778 (οὗτος);,hoútō,οὕτω,"after that, after (in) this manner, as, even (so), for all that, like(-wise), no more, on this fashion(-wise), so (in like manner), thus, what",,
G4403,G, the stern of a ship,feminine of (hindmost);,prýmna,πρύμνα,"hinder part, stern",,
G2448,G," Judah (i.e. Jehudah or Juttah), a part of (or place in) Palestine",of Hebrew origin (H03063 or perhaps H03194);,Ioudá,Ἰουδά,Judah,,
G4209,G," the ""purple"" mussel, i.e. (by implication) the red-blue color itself, and finally a garment dyed with it",of Latin origin;,porphýra,πορφύρα,purple,,
G5614,G," oh save!; hosanna (i.e. hoshia-na), an exclamation of adoration",of Hebrew origin (H03467 and H04994);,hōsanná,ὡσαννά,hosanna,,
G4974,G," compare the feminine , a hammer); the ankle (as globular)","neuter of a presumed derivative probably of the same as (a ball, ""sphere"";",sphyrón,σφυρόν,ancle bone,,
G698,G, an Areopagite or member of the court held on Mars' Hill,from G697 (Ἄρειος Πάγος);,Areopagítēs,Ἀρεοπαγίτης,Areopagite,,
G3840,G, from (i.e. on) all sides,adverb (of source) from G3956 (πᾶς);,pántothen,πάντοθεν,"on every side, round about",,
G4833,G," to render like, i.e. (figuratively) to assimilate",from G4832 (σύμμορφος);,symmorphóō,συμμορφόω,make conformable unto,,
G1145,G, to shed tears,from G1144 (δάκρυ);,dakrýō,δακρύω,weep,,
G2018,G," to bear upon (or further), i.e. adduce (personally or judicially (accuse, inflict)), superinduce",from G1909 (ἐπί) and G5342 (φέρω);,epiphérō,ἐπιφέρω,"add, bring (against), take",,
G3106,G," to beatify, i.e. pronounce (or esteem) fortunate",from G3107 (μακάριος);,makarízō,μακαρίζω,"call blessed, count happy",,
G2776,G," the head (as the part most readily taken hold of), literally or figuratively",from the primary (in the sense of seizing);,kephalḗ,κεφαλή,head,,
G3871,G," to cover alongside, i.e. veil (figuratively)",from G3844 (παρά) and G2572 (καλύπτω);,parakalýptō,παρακαλύπτω,hide,,
G4438,G," to box (with the fist), i.e. contend (as a boxer) at the games (figuratively)",from a derivative of the same as G4435 (πυγμή);,pyktéō,πυκτέω,fight,,
G3699,G," what(-ever) where, i.e. at whichever spot",from G3739 (ὅς) and G4225 (πού);,hópou,ὅπου,"in what place, where(-as, -soever), whither (+ soever)",,
G18,G," ""good"" (in any sense, often as noun)",a primary word;,agathós,ἀγαθός,"benefit, good(-s, things), well",,
G2426,G, ability,from G2425 (ἱκανός);,hikanótēs,ἱκανότης,sufficiency,,
G457,G, opening (throat),from G455 (ἀνοίγω);,ánoixis,ἄνοιξις,X open,,
G4249,G, to saw in two,a strengthened form of a primary prio (to saw);,prízō,πρίζω,saw asunder,,
G4285,G," to lead the way for others, i.e. show deference",from G4253 (πρό) and G2233 (ἡγέομαι);,proēgéomai,προηγέομαι,prefer,,
G1324,G," double, i.e. twin; Didymus, a Christian",prolongation from G1364 (δίς);,Dídymos,Δίδυμος,Didymus,,
G3683,G," profit-bearer; Onesiphorus, a Christian",from a derivative of G3685 (ὀνίνημι) and G5411 (φόρος);,Onēsíphoros,Ὀνησίφορος,Onespiphorus,,
G4786,G," to commingle, i.e. (figuratively) to combine or assimilate",from G4862 (σύν) and G2767 (κεράννυμι);,synkeránnymi,συγκεράννυμι,"mix with, temper together",,
G4204,G," a strumpet; figuratively, an idolater",feminine of G4205 (πόρνος);,pórnē,πόρνη,"harlot, whore",,
G4568,G, a certain measure for things dry,of Hebrew origin (H05429);,sáton,σάτον,measure,,
G4603,G, made of iron,from G4604 (σίδηρος);,sidḗreos,σιδήρεος,(of) iron,,
G1533,G, to carry inward (literally or figuratively),from G1519 (εἰς) and G5342 (φέρω);,eisphérō,εἰσφέρω,"bring (in), lead into",,
G3028,G, receipt (the act),from G2983 (λαμβάνω);,lēmpsis,λῆμψις,receiving,,
G1750,G, to enwrap,from G1772 (ἔννομος) and the base of G1507 (εἱλίσσω);,eneiléō,ἐνειλέω,wrap in,,
G2876,G, a crow (from its voracity),perhaps from G2880 (κορέννυμι);,kórax,κόραξ,raven,,
G2779,G, a garden,of uncertain affinity;,kēpos,κῆπος,garden,,
G925,G, to burden (figuratively),from G926 (βαρύς);,barýnō,βαρύνω,overcharge,,
G5109,G, a wall,another form of G5038 (τεῖχος);,toîchos,τοῖχος,wall,,
G2817,G," heirship, i.e. (concretely) a patrimony or (genitive case) a possession",from G2818 (κληρονόμος);,klēronomía,κληρονομία,inheritance,,
G3832,G, with the whole family,adverb from G3956 (πᾶς) and G3624 (οἶκος);,panoikí,πανοικί,with all his house,,
G2055,G," a kidling, i.e. (genitive case) goat (symbolically, wicked person)",from G2056 (ἔριφος);,eríphion,ἐρίφιον,goat,,
G4925,G," to construct, i.e. (passively) to compose (in company with other Christians, figuratively)",from G4862 (σύν) and G3618 (οἰκοδομέω);,synoikodoméō,συνοικοδομέω,build together,,
G4356,G, admission,from G4355 (προσλαμβάνω);,próslēpsis,πρόσληψις,receiving,,
G5503,G," a widow (as lacking a husband), literally or figuratively",feminine of a presumed derivative apparently from the base of G5490 (χάσμα) through the idea of deficiency;,chḗra,χήρα,widow,,
G2820,G," to allot, i.e. (figuratively) to assign (a privilege)",from G2819 (κλῆρος);,klēróō,κληρόω,obtain an inheritance,,
G91,G," to be unjust, i.e. (actively) do wrong (morally, socially or physically)",from G94 (ἄδικος);,adikéō,ἀδικέω,"hurt, injure, be an offender, be unjust, (do, suffer, take) wrong",,
G1077,G, birthday ceremonies,neuter plural of a derivative of G1078 (γένεσις);,genésia,γενέσια,birthday,,
G42,G," sacredness (i.e. properly, the quality)",from G40 (ἅγιος);,hagiōsýnē,ἁγιωσύνη,holiness,,
G4368,G," a patroness, i.e. assistant",feminine of a derivative of G4291 (προΐστημι);,prostátis,προστάτις,succourer,,
G2700,G, to shoot down with an arrow or other missile,from G2596 (κατά) and a derivative of G5115 (τόξον);,katatoxeúō,κατατοξεύω,thrust through,,
G2164,G," to bear well, i.e. be fertile",from G2095 (εὖ) and G5409 (φορέω);,euphoréō,εὐφορέω,bring forth abundantly,,
G5279,G," to remind quietly, i.e. suggest to the (middle voice, one's own) memory",from G5259 (ὑπό) and G3403 (μιμνήσκω);,hypomimnḗskō,ὑπομιμνήσκω,"put in mind, remember, bring to (put in) remembrance",,
G5077,G," to incinerate, i.e. consume",from (ashes);,tephróō,τεφρόω,turn to ashes,,
G1456,G," innovatives, i.e. (specially) renewal (of religious services after the Antiochian interruption)",neuter plural of a presumed compound from G1722 (ἐν) and G2537 (καινός);,enkaínia,ἐγκαίνια,dedication,,
G4693,G," a cavern; by implication, a hiding-place or resort",neuter of a presumed derivative of (a grotto);,spḗlaion,σπήλαιον,"cave, den",,
G5437,G," a fleeing, i.e. escape",from G5343 (φεύγω);,phygḗ,φυγή,flight,,
G670,G, to unload,from G575 (ἀπό) and the middle voice of G5412 (φορτίζω);,apophortízomai,ἀποφορτίζομαι,unlade,,
G4133,G," moreover (besides), i.e. albeit, save that, rather, yet",from G4119 (πλείων);,plḗn,πλήν,"but (rather), except, nevertheless, notwithstanding, save, than",,
G4191,G, more evil,comparative of G4190 (πονηρός);,ponēróteros,πονηρότερος,more wicked,,
G4378,G," a shedding forth, i.e. affusion",from a comparative of G4314 (πρός) and (to pour);,próschysis,πρόσχυσις,sprinkling,,
G4259,G," a forecourt, i.e. vestibule (alley-way)",neuter of a presumed compound of G4253 (πρό) and G833 (αὐλή);,proaúlion,προαύλιον,porch,,
G359,G, departure,from G360 (ἀναλύω);,análysis,ἀνάλυσις,departure,,
G5546,G," a Christian, i.e. follower of Christ",from G5547 (Χριστός);,Christianós,Χριστιανός,Christian,,
G2867,G," by analogy, lime); to whitewash",from (dust;,koniáō,κονιάω,whiten,,
G2494,G," Jonan, an Israelite",probably for G2491 (Ἰωάννης) or G2495 (Ἰωνᾶς);,Iōnán,Ἰωνάν,Jonan,,
G2743,G," to brand (""cauterize""), i.e. (by implication) to render unsensitive (figuratively)",from a derivative of G2545 (καίω);,kautēriázō,καυτηριάζω,sear with a hot iron,,
G5343,G," to run away (literally or figuratively); by implication, to shun; by analogy, to vanish",apparently a primary verb;,pheúgō,φεύγω,"escape, flee (away)",,
G5475,G," copper (the substance, or some implement or coin made of it)",perhaps from G5465 (χαλάω) through the idea of hollowing out as a vessel (this metal being chiefly used for that purpose);,chalkós,χαλκός,"brass, money",,
G783,G, a greeting (in person or by letter),from G782 (ἀσπάζομαι);,aspasmós,ἀσπασμός,"greeting, salutation",,
G5351,G," properly, to shrivel or wither, i.e. to spoil (by any process) or (generally) to ruin (especially figuratively, by moral influences, to deprave)",probably strengthened from (to pine or waste);,phtheírō,φθείρω,"corrupt (self), defile, destroy",,
G5431,G," to exercise thought, i.e. be anxious",from a derivative of G5424 (φρήν);,phrontízō,φροντίζω,be careful,,
G4856,G," to be harmonious, i.e. (figuratively) to accord (be suitable, concur) or stipulate (by compact)",from G4859 (σύμφωνος);,symphōnéō,συμφωνέω,"agree (together, with)",,
G1856,G," to expel; by implication, to propel",from G1537 (ἐκ) and (to push);,exōthéō,ἐξωθέω,"drive out, thrust in",,
G531,G," not passing away, i.e. untransferable (perpetual)",from G1 (Α) (as a negative particle) and a derivative of G3845 (παραβαίνω);,aparábatos,ἀπαράβατος, unchangeable,,
G4652,G," opaque, i.e. (figuratively) benighted",from G4655 (σκότος);,skoteinós,σκοτεινός,"dark, full of darkness",,
G1887,G," occurring on the succeeding day, i.e. (G2250 (ἡμέρα) being implied) to-morrow",from G1909 (ἐπί) and G839 (αὔριον);,epaúrion,ἐπαύριον,"day following, morrow, next day (after)",,
G1234,G, to complain throughout a crowd,from G1223 (διά) and G1111 (γογγύζω);,diagongýzō,διαγογγύζω,murmur,,
G100,G," plumpness, i.e. (figuratively) liberality",from (stout);,hadrótēs,ἁδρότης,abundance,,
G899,G," profundity, i.e. (by implication) extent; (figuratively) mystery",from the same as G901 (βαθύς);,báthos,βάθος,"deep(-ness, things), depth",,
G1089,G," to taste; by implication, to eat; figuratively, to experience (good or ill)",a primary verb;,geúomai,γεύομαι,"eat, taste",,
G3176,G, greatest or very great,superlative of G3173 (μέγας);,mégistos,μέγιστος,exceeding great,,
G4273,G, a surrender,from G4272 (προδίδωμι) (in the sense of giving forward into another's (the enemy's) hands);,prodótēs,προδότης,"betrayer, traitor",,
G2025,G, to smear over,from G1909 (ἐπί) and G5548 (χρίω);,epichríō,ἐπιχρίω,anoint,,
G2408,G," Hieremias (i.e. Jermijah), an Israelite",of Hebrew origin (H03414);,Hieremías,Ἱερεμίας,Jeremiah,,
G784,G, unblemished (physically or morally),from G1 (Α) (as a negative particle) and G4695 (σπιλόω);,áspilos,ἄσπιλος,"without spot, unspotted",,
G4549,G," Saul (i.e. Shaul), the Jewish name of Paul",of Hebrew origin (H07586);,Saoúl,Σαούλ,Saul,,
G4481,G," Remphan (i.e. Kijun), an Egyptian idol",by incorrect transliteration for a word of Hebrew origin (H03594);,Rhemphán,Ῥεμφάν,Remphan,,
G3717,G," right (as rising), i.e. (perpendicularly) erect (figuratively, honest), or (horizontally) level or direct",probably from the base of G3735 (ὄρος);,orthós,ὀρθός,"straight, upright",,
G4869,G, a co-captive,from G4862 (σύν) and G164 (αἰχμάλωτος);,synaichmálōtos,συναιχμάλωτος,fellowprisoner,,
G3171,G, much,adverb from G3173 (μέγας);,megálōs,μεγάλως,greatly,,
G4284,G," to hold oneself before others, i.e. (figuratively) to excel",middle voice from G4253 (πρό) and G2192 (ἔχω);,proéchomai,προέχομαι,be better,,
G87,G," properly, undistinguished, i.e. (actively) impartial",from G1 (Α) (as a negative particle) and a derivative of G1252 (διακρίνω);,adiákritos,ἀδιάκριτος,without partiality,,
G343,G, to unveil,from G303 (ἀνά) (in the sense of reversal) and G2572 (καλύπτω);,anakalýptō,ἀνακαλύπτω,"open, (un-)taken away",,
G5283,G, suspicion,from G5282 (ὑπονοέω);,hypónoia,ὑπόνοια,surmising,,
G4648,G," to take aim at (spy), i.e. (figuratively) regard",from G4649 (σκοπός);,skopéō,σκοπέω,"consider, take heed, look at (on), mark",,
G2778,G," properly, an enrollment (""census""), i.e. (by implication) a tax",of Latin origin;,kēnsos,κῆνσος,tribute,,
G980,G, to spend existence,from G979 (βίος);,bióō,βιόω,live,,
G820,G, (negatively) unhonoured or (positively) dishonoured,from G1 (Α) (as a negative particle) and G5092 (τιμή);,átimos,ἄτιμος,"despised, without honour, less honourable (comparative degree)",,
G3836,G, from all directions,adverb (of source) from G3837 (πανταχοῦ);,pantachóthen,πανταχόθεν,from every quarter,,
G1025,G," an infant (properly, unborn) literally or figuratively",of uncertain affinity;,bréphos,βρέφος,"babe, (young) child, infant",,
G4491,G," a ""root"" (literally or figuratively)",apparently a primary word;,rhíza,ῥίζα,root,,
G5064,G, four,a plural number;,téssares,τέσσαρες,four,,
G242,G," to jump; figuratively, to gush",middle voice of apparently a primary verb;,hállomai,ἅλλομαι,"leap, spring up",,
G1109,G, a knower,from G1097 (γινώσκω);,gnṓstēs,γνώστης,expert,,
G1318,G," (subjectively) instructed, or (objectively) communicated by teaching",from G1321 (διδάσκω);,didaktós,διδακτός,"taught, which … teacheth",,
G2473,G, of similar spirit,from G2470 (ἴσος) and G5590 (ψυχή);,isópsychos,ἰσόψυχος,likeminded,,
G938,G, a queen,feminine from G936 (βασιλεύω);,basílissa,βασίλισσα,queen,,
G4986,G," of a safe father; Sopatrus, a Christian",from the base of G4982 (σώζω) and G3962 (πατήρ);,Sṓpatros,Σώπατρος,Sopater,,
G2226,G," a live thing, i.e. an animal",neuter of a derivative of G2198 (ζάω);,zōon,ζῶον,beast,,
G5302,G," to be later, i.e. (by implication) to be inferior; generally, to fall short (be deficient)",from G5306 (ὕστερος);,hysteréō,ὑστερέω,"come behind (short), be destitute, fail, lack, suffer need, (be in) want, be the worse",,
G2264,G," heroic; Herod, the name of four Jewish kings","compound of (a ""hero"") and G1491 (εἶδος);",Hērṓdēs,Ἡρώδης,Herod,,
G185,G," unmixed, i.e. (figuratively) innocent",from G1 (Α) (as a negative particle) and a presumed derivative of G2767 (κεράννυμι);,akéraios,ἀκέραιος,"harmless, simple",,
G2892,G," ""custody"", i.e. a Roman sentry",of Latin origin;,koustōdía,κουστωδία,watch,,
G2935,G, an owner,from G2932 (κτάομαι);,ktḗtōr,κτήτωρ,possessor,,
G4308,G," to behold in advance, i.e. (actively) to notice (another) previously, or (middle voice) to keep in (one's own) view",from G4253 (πρό) and G3708 (ὁράω);,prooráō,προοράω,"foresee, see before",,
G1730,G, an indication (concretely),from G1731 (ἐνδείκνυμι);,éndeigma,ἔνδειγμα,manifest token,,
G1085,G," ""kin"" (abstract or concrete, literal or figurative, individual or collective)",from G1096 (γίνομαι);,génos,γένος,"born, country(-man), diversity, generation, kind(-red), nation, offspring, stock",,
G371,G, irreverently,adverb from G370 (ἀνάξιος);,anaxíōs,ἀναξίως,unworthily,,
G3590,G, the eighth,from G3638 (ὀκτώ);,ógdoos,ὄγδοος,eighth,,
G2544,G," and yet indeed, i.e. although really",from G2543 (καίτοι) and G1065 (γέ);,kaítoige,καίτοιγε,"nevertheless, though",,
G4165,G," to tend as a shepherd of (figuratively, superviser)",from G4166 (ποιμήν);,poimaínō,ποιμαίνω,"feed (cattle), rule",,
G680,G," properly, to attach oneself to, i.e. to touch (in many implied relations)",reflexive of G681 (ἅπτω);,háptomai,ἅπτομαι,touch,,
G1711,G, traffic,feminine from G1713 (ἔμπορος);,emporía,ἐμπορία,merchandise,,
G2146,G," to be of good countenance, i.e. (figuratively) to make a display",from a compound of G2095 (εὖ) and G4383 (πρόσωπον);,euprosōpéō,εὐπροσωπέω,make a fair show,,
G1686,G," to whelm on, i.e. wet (a part of the person, etc.) by contact with a fluid",from G1722 (ἐν) and G911 (βάπτω);,embáptō,ἐμβάπτω,dip,,
G4942,G, to act hypocritically in concert with,from G4862 (σύν) and G5271 (ὑποκρίνομαι);,synypokrínomai,συνυποκρίνομαι,dissemble with,,
G1738,G," in the right, i.e. equitable",from G1722 (ἐν) and G1349 (δίκη);,éndikos,ἔνδικος,just,,
G3954,G," all out-spokenness, i.e. frankness, bluntness, publicity; by implication, assurance",from G3956 (πᾶς) and a derivative of G4483 (ῥέω);,parrhēsía,παῤῥησία,"bold (X -ly, -ness, -ness of speech), confidence, X freely, X openly, X plainly(-ness)",,
G4471,G," Rama (i.e. Ramah), a place in Palestine",of Hebrew origin (H07414);,Rhamâ,Ῥαμᾶ,Rama,,
G1942,G," a covering, i.e. (figuratively) pretext",from G1943 (ἐπικαλύπτω);,epikályma,ἐπικάλυμα,cloke,,
G4485,G," something torn, i.e. a fragment (by implication and abstractly, a fall)",from G4486 (ῥήγνυμι);,rhēgma,ῥῆγμα,ruin,,
G4775,G, to seat oneself in company with,from G4862 (σύν) and G2521 (κάθημαι);,synkáthēmai,συγκάθημαι,sit with,,
G1764,G," to place on hand, i.e. (reflexively) impend, (participle) be instant",from G1722 (ἐν) and G2476 (ἵστημι);,enístēmi,ἐνίστημι,"come, be at hand, present",,
G127,G," bashfulness, i.e. (towards men), modesty or (towards God) awe",perhaps from G1 (Α) (as a negative particle) and G1492 (εἴδω) (through the idea of downcast eyes);,aidṓs,αἰδώς,"reverence, shamefacedness",,
G5610,G," an ""hour"" (literally or figuratively)",apparently a primary word;,hṓra,ὥρα,"day, hour, instant, season, X short, (even-)tide, (high) time",,
G2299,G, a female deity,feminine of G2316 (θεός);,theá,θεά,goddess,,
G2345,G," to manipulate, i.e. have to do with; by implication, to injure",a prolonged form of an obsolete primary (to finger);,thingánō,θιγγάνω,"handle, touch",,
G106,G," unleavened, i.e. (figuratively) uncorrupted; (in the neutral plural) specially (by implication) the Passover week",from G1 (Α) (as a negative particle) and G2219 (ζύμη);,ázymos,ἄζυμος,unleavened (bread),,
G1169,G," timid, i.e. (by implication) faithless",from (dread);,deilós,δειλός,fearful,,
G1370,G," disunion, i.e. (figuratively) dissension",from a derivative of G1364 (δίς) and G4714 (στάσις);,dichostasía,διχοστασία,"division, sedition",,
G1147,G, a finger,probably from G1176 (δέκα);,dáktylos,δάκτυλος,finger,,
G4862,G," with or together (but much closer than G3326 (μετά) or G3844 (παρά)), i.e. by association, companionship, process, resemblance, possession, instrumentality, addition, etc.",a primary preposition denoting union;,sýn,σύν,"beside, with",,
G1704,G," to perambulate on a place, i.e. (figuratively) to be occupied among persons",from G1722 (ἐν) and G4043 (περιπατέω);,emperipatéō,ἐμπεριπατέω,walk in,,
G4031,G," strong all around, i.e. a master (manager)",from G4012 (περί) and G2904 (κράτος);,perikratḗs,περικρατής,+ come by,,
G1578,G," to deviate, i.e. (absolutely) to shun (literally or figuratively), or (relatively) to decline (from piety)",from G1537 (ἐκ) and G2827 (κλίνω);,ekklínō,ἐκκλίνω,"avoid, eschew, go out of the way",,
G533,G," to deny utterly, i.e. disown, abstain",from G575 (ἀπό) and G720 (ἀρνέομαι);,aparnéomai,ἀπαρνέομαι,deny,,
G1884,G," to avail for, i.e. help",from G1909 (ἐπί) and G714 (ἀρκέω);,eparkéō,ἐπαρκέω,relieve,,
G5589,G, a little bit or morsel,diminutive from a derivative of the base of G5567 (ψάλλω) (meaning a crumb);,psichíon,ψιχίον,crumb,,
G3424,G," hardly talking, i.e. dumb (tongue-tied)",from G3425 (μόγις) and G2980 (λαλέω);,mogilálos,μογιλάλος,having an impediment in his speech,,
G652,G," a delegate; specially, an ambassador of the Gospel; officially a commissioner of Christ (""apostle"") (with miraculous powers)",from G649 (ἀποστέλλω);,apóstolos,ἀπόστολος,"apostle, messenger, he that is sent",,
G3715,G," excitement of the mind, i.e. longing after",from G3713 (ὀρέγομαι);,órexis,ὄρεξις,lust,,
G3636,G," tardy, i.e. indolent; (figuratively) irksome",from G3635 (ὀκνέω);,oknērós,ὀκνηρός,"grievous, slothful",,
G4185,G, extremely expensive,from G4183 (πολύς) and G5056 (τέλος);,polytelḗs,πολυτελής,"costly, very precious, of great price",,
G4281,G," to go onward, precede (in place or time)",from G4253 (πρό) and G2064 (ἔρχομαι) (including its alternate);,proérchomai,προέρχομαι,"go before (farther, forward), outgo, pass on",,
G1535,G, if too,from G1487 (εἰ) and G5037 (τέ);,eíte,εἴτε,"if, or, whether",,
G2456,G," Julia, a Christian woman",feminine of the same as G2457 (Ἰούλιος);,Ioulía,Ἰουλία,Julia,,
G1955,G," explanation, i.e. application",from G1956 (ἐπιλύω);,epílysis,ἐπίλυσις,interpretation,,
G2994,G," a Laodicean, i.e. inhabitant of Laodicia",from G2993 (Λαοδίκεια);,Laodikeús,Λαοδικεύς,Laodicean,,
G2198,G, to live (literally or figuratively),a primary verb;,záō,ζάω,"life(-time), (a-)live(-ly), quick",,
G1571,G, to cleanse thoroughly,from G1537 (ἐκ) and G2508 (καθαίρω);,ekkathaírō,ἐκκαθαίρω,purge (out),,
G3370,G," a Median, or inhabitant of Media",of foreign origin (compare H04074);,Mēdos,Μῆδος,Mede,,
G4685,G, to draw,a primary verb;,spáō,σπάω,draw (out),,
